#,Reference,Qty,Value,Footprint,DNP
1,"C1, C2, C3, C4, C5, C6",6,100n,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm,
2,"D1, D2",2,1N914,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,
3,D3,1,1N5818,Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal,
4,DC1,1,NME0505SC,Converter_DCDC:Converter_DCDC_Murata_MEE1SxxxxSC_THT,
5,IC1,1,MAX485E,Package_DIP:DIP-8_W7.62mm,
6,"OC1, OC2",2,6N137,Package_DIP:DIP-8_W7.62mm,
7,P1,1,MIDI Input,Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,
8,P2,1,MIDI Through,Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,
9,P3,1,DMX Out,Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,
10,P4,1,9V Power,Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,
11,"R1, R2, R3",3,220,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
12,R4,1,10k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
13,R5,1,470,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
14,R6,1,4.7k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
15,R7,1,120,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
16,R8,1,91,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
17,R9,1,100K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
18,R10,1,270,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
19,RV1,1,10k,Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,
20,SW1,1,SW_LED_blue,Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,
21,U1,1,ProMini,Arduino-clone:ABK-PRO-MINI,
